"tick","Open Jobs","Done Jobs"
0.0,0.0,0.0
1.0,1089.0,11.0
2.0,1078.0,22.0
3.0,1067.0,33.0
4.0,1056.0,44.0
5.0,1045.0,55.0
6.0,1034.0,66.0
7.0,1023.0,77.0
8.0,1012.0,88.0
9.0,1001.0,99.0
10.0,990.0,110.0
11.0,979.0,121.0
12.0,968.0,132.0
13.0,957.0,143.0
14.0,946.0,154.0
15.0,935.0,165.0
16.0,924.0,165.0
17.0,924.0,176.0
18.0,913.0,176.0
19.0,913.0,187.0
20.0,902.0,187.0
21.0,902.0,198.0
22.0,891.0,198.0
23.0,891.0,198.0
24.0,891.0,209.0
25.0,880.0,209.0
26.0,880.0,209.0
27.0,880.0,220.0
28.0,869.0,220.0
29.0,869.0,220.0
30.0,869.0,220.0
31.0,869.0,231.0
32.0,858.0,231.0
33.0,858.0,231.0
34.0,858.0,231.0
35.0,858.0,242.0
36.0,847.0,242.0
37.0,847.0,242.0
38.0,847.0,242.0
39.0,847.0,242.0
40.0,847.0,253.0
41.0,836.0,253.0
42.0,836.0,253.0
43.0,836.0,253.0
44.0,836.0,253.0
45.0,836.0,253.0
46.0,836.0,264.0
47.0,825.0,264.0
48.0,825.0,264.0
49.0,825.0,264.0
50.0,825.0,264.0
51.0,825.0,264.0
52.0,825.0,275.0
53.0,814.0,275.0
54.0,814.0,275.0
55.0,814.0,275.0
56.0,814.0,275.0
57.0,814.0,275.0
58.0,814.0,275.0
59.0,814.0,286.0
60.0,803.0,286.0
61.0,803.0,286.0
62.0,803.0,286.0
63.0,803.0,286.0
64.0,803.0,286.0
65.0,803.0,286.0
66.0,803.0,286.0
67.0,803.0,297.0
68.0,792.0,297.0
69.0,792.0,297.0
70.0,792.0,297.0
71.0,792.0,297.0
72.0,792.0,297.0
73.0,792.0,297.0
74.0,792.0,297.0
75.0,792.0,297.0
76.0,792.0,308.0
77.0,781.0,308.0
78.0,781.0,308.0
79.0,781.0,308.0
80.0,781.0,308.0
81.0,781.0,308.0
82.0,781.0,308.0
83.0,781.0,308.0
84.0,781.0,308.0
85.0,781.0,319.0
86.0,770.0,319.0
87.0,770.0,319.0
88.0,770.0,319.0
89.0,770.0,319.0
90.0,770.0,319.0
91.0,770.0,319.0
92.0,770.0,319.0
93.0,770.0,319.0
94.0,770.0,319.0
95.0,770.0,330.0
96.0,759.0,330.0
97.0,759.0,330.0
98.0,759.0,330.0
99.0,759.0,330.0
100.0,759.0,330.0
101.0,759.0,330.0
102.0,759.0,330.0
103.0,759.0,330.0
104.0,759.0,330.0
105.0,759.0,330.0
106.0,759.0,341.0
107.0,748.0,341.0
108.0,748.0,341.0
109.0,748.0,341.0
110.0,748.0,341.0
111.0,748.0,341.0
112.0,748.0,341.0
113.0,748.0,341.0
114.0,748.0,341.0
115.0,748.0,341.0
116.0,748.0,341.0
117.0,748.0,341.0
118.0,748.0,352.0
119.0,737.0,352.0
120.0,737.0,352.0
121.0,737.0,352.0
122.0,737.0,352.0
123.0,737.0,352.0
124.0,737.0,352.0
125.0,737.0,352.0
126.0,737.0,352.0
127.0,737.0,352.0
128.0,737.0,352.0
129.0,737.0,352.0
130.0,737.0,352.0
131.0,737.0,363.0
132.0,726.0,363.0
133.0,726.0,363.0
134.0,726.0,363.0
135.0,726.0,363.0
136.0,726.0,363.0
137.0,726.0,363.0
138.0,726.0,363.0
139.0,726.0,363.0
140.0,726.0,363.0
141.0,726.0,363.0
142.0,726.0,363.0
143.0,726.0,363.0
144.0,726.0,363.0
145.0,726.0,374.0
146.0,715.0,374.0
147.0,715.0,374.0
148.0,715.0,374.0
149.0,715.0,374.0
150.0,715.0,374.0
151.0,715.0,374.0
152.0,715.0,374.0
153.0,715.0,374.0
154.0,715.0,374.0
