"tick","Open Jobs","Done Jobs"
0.0,0.0,0.0
1.0,511.0,0.0
2.0,511.0,0.0
3.0,511.0,0.0
4.0,511.0,7.0
5.0,504.0,7.0
6.0,504.0,7.0
7.0,504.0,7.0
8.0,504.0,14.0
9.0,497.0,14.0
10.0,497.0,14.0
11.0,497.0,14.0
12.0,497.0,21.0
13.0,490.0,21.0
14.0,490.0,21.0
15.0,490.0,21.0
16.0,490.0,28.0
17.0,483.0,28.0
18.0,483.0,28.0
19.0,483.0,28.0
20.0,483.0,35.0
21.0,476.0,35.0
22.0,476.0,35.0
23.0,476.0,35.0
24.0,476.0,35.0
25.0,476.0,42.0
26.0,469.0,42.0
27.0,469.0,42.0
28.0,469.0,42.0
29.0,469.0,42.0
30.0,469.0,49.0
31.0,462.0,49.0
32.0,462.0,49.0
33.0,462.0,49.0
34.0,462.0,49.0
35.0,462.0,56.0
36.0,455.0,56.0
37.0,455.0,56.0
38.0,455.0,56.0
39.0,455.0,56.0
40.0,455.0,63.0
41.0,448.0,63.0
42.0,448.0,63.0
43.0,448.0,63.0
44.0,448.0,63.0
45.0,448.0,70.0
46.0,441.0,70.0
47.0,441.0,70.0
48.0,441.0,70.0
49.0,441.0,70.0
50.0,441.0,77.0
51.0,434.0,77.0
52.0,434.0,77.0
53.0,434.0,77.0
54.0,434.0,77.0
55.0,434.0,84.0
56.0,427.0,84.0
57.0,427.0,84.0
58.0,427.0,84.0
59.0,427.0,84.0
60.0,427.0,84.0
61.0,427.0,91.0
62.0,420.0,91.0
63.0,420.0,91.0
64.0,420.0,91.0
65.0,420.0,91.0
66.0,420.0,91.0
67.0,420.0,98.0
68.0,413.0,98.0
69.0,413.0,98.0
70.0,413.0,98.0
71.0,413.0,98.0
72.0,413.0,98.0
73.0,413.0,105.0
74.0,406.0,105.0
75.0,406.0,105.0
76.0,406.0,105.0
77.0,406.0,105.0
78.0,406.0,105.0
79.0,406.0,105.0
80.0,406.0,112.0
81.0,399.0,112.0
82.0,399.0,112.0
83.0,399.0,112.0
84.0,399.0,112.0
85.0,399.0,112.0
86.0,399.0,112.0
87.0,399.0,119.0
88.0,392.0,119.0
89.0,392.0,119.0
90.0,392.0,119.0
91.0,392.0,119.0
92.0,392.0,119.0
93.0,392.0,119.0
94.0,392.0,126.0
95.0,385.0,126.0
96.0,385.0,126.0
97.0,385.0,126.0
98.0,385.0,126.0
99.0,385.0,126.0
100.0,385.0,126.0
101.0,385.0,126.0
102.0,385.0,133.0
103.0,378.0,133.0
104.0,378.0,133.0
105.0,378.0,133.0
106.0,378.0,133.0
107.0,378.0,133.0
108.0,378.0,133.0
109.0,378.0,133.0
110.0,378.0,140.0
111.0,371.0,140.0
112.0,371.0,140.0
113.0,371.0,140.0
114.0,371.0,140.0
115.0,371.0,140.0
116.0,371.0,140.0
117.0,371.0,140.0
118.0,371.0,140.0
119.0,371.0,147.0
120.0,364.0,147.0
121.0,364.0,147.0
122.0,364.0,147.0
123.0,364.0,147.0
124.0,364.0,147.0
125.0,364.0,147.0
126.0,364.0,147.0
127.0,364.0,147.0
128.0,364.0,154.0
129.0,357.0,154.0
130.0,357.0,154.0
131.0,357.0,154.0
132.0,357.0,154.0
133.0,357.0,154.0
134.0,357.0,154.0
135.0,357.0,154.0
136.0,357.0,154.0
137.0,357.0,154.0
138.0,357.0,161.0
139.0,350.0,161.0
140.0,350.0,161.0
141.0,350.0,161.0
142.0,350.0,161.0
