"tick","Open Jobs","Done Jobs"
0.0,0.0,0.0
1.0,702.0,0.0
2.0,702.0,0.0
3.0,702.0,0.0
4.0,702.0,0.0
5.0,702.0,0.0
6.0,702.0,0.0
7.0,702.0,0.0
8.0,702.0,0.0
9.0,702.0,0.0
10.0,702.0,0.0
11.0,702.0,0.0
12.0,702.0,0.0
13.0,702.0,0.0
14.0,702.0,0.0
15.0,702.0,0.0
16.0,702.0,0.0
17.0,702.0,0.0
18.0,702.0,0.0
19.0,702.0,0.0
20.0,702.0,0.0
21.0,702.0,0.0
22.0,702.0,0.0
23.0,702.0,0.0
24.0,702.0,0.0
25.0,702.0,0.0
26.0,702.0,0.0
27.0,702.0,0.0
28.0,702.0,0.0
29.0,702.0,0.0
30.0,702.0,0.0
31.0,702.0,0.0
32.0,702.0,0.0
33.0,702.0,0.0
34.0,702.0,0.0
35.0,702.0,0.0
36.0,702.0,0.0
37.0,702.0,0.0
38.0,702.0,0.0
39.0,702.0,0.0
40.0,702.0,0.0
41.0,702.0,0.0
42.0,702.0,0.0
43.0,702.0,0.0
44.0,702.0,0.0
45.0,702.0,0.0
46.0,702.0,0.0
47.0,702.0,0.0
48.0,702.0,0.0
49.0,702.0,0.0
50.0,702.0,0.0
51.0,702.0,0.0
52.0,702.0,0.0
53.0,702.0,0.0
54.0,702.0,0.0
55.0,702.0,0.0
56.0,702.0,0.0
57.0,702.0,0.0
58.0,702.0,0.0
59.0,702.0,0.0
60.0,702.0,0.0
61.0,702.0,0.0
62.0,702.0,0.0
63.0,702.0,0.0
64.0,702.0,0.0
65.0,702.0,0.0
66.0,702.0,0.0
67.0,702.0,0.0
68.0,702.0,0.0
69.0,702.0,0.0
70.0,702.0,0.0
71.0,702.0,0.0
72.0,702.0,0.0
73.0,702.0,0.0
74.0,702.0,0.0
75.0,702.0,26.0
76.0,676.0,26.0
77.0,676.0,26.0
78.0,676.0,26.0
79.0,676.0,26.0
80.0,676.0,26.0
81.0,676.0,26.0
82.0,676.0,26.0
83.0,676.0,26.0
84.0,676.0,26.0
85.0,676.0,26.0
86.0,676.0,26.0
87.0,676.0,26.0
88.0,676.0,26.0
89.0,676.0,26.0
90.0,676.0,26.0
91.0,676.0,26.0
92.0,676.0,26.0
93.0,676.0,26.0
94.0,676.0,26.0
95.0,676.0,26.0
96.0,676.0,26.0
97.0,676.0,26.0
98.0,676.0,26.0
99.0,676.0,26.0
100.0,676.0,26.0
101.0,676.0,26.0
102.0,676.0,26.0
103.0,676.0,26.0
104.0,676.0,26.0
105.0,676.0,26.0
106.0,676.0,26.0
107.0,676.0,26.0
108.0,676.0,26.0
109.0,676.0,26.0
110.0,676.0,26.0
111.0,676.0,26.0
112.0,676.0,26.0
113.0,676.0,26.0
114.0,676.0,26.0
115.0,676.0,26.0
116.0,676.0,26.0
117.0,676.0,26.0
118.0,676.0,26.0
119.0,676.0,26.0
120.0,676.0,26.0
121.0,676.0,26.0
122.0,676.0,26.0
123.0,676.0,26.0
124.0,676.0,26.0
125.0,676.0,26.0
126.0,676.0,26.0
127.0,676.0,26.0
128.0,676.0,26.0
129.0,676.0,26.0
130.0,676.0,26.0
131.0,676.0,26.0
132.0,676.0,26.0
133.0,676.0,26.0
134.0,676.0,26.0
135.0,676.0,26.0
136.0,676.0,26.0
137.0,676.0,26.0
138.0,676.0,26.0
139.0,676.0,26.0
140.0,676.0,26.0
141.0,676.0,26.0
142.0,676.0,26.0
143.0,676.0,26.0
144.0,676.0,26.0
145.0,676.0,26.0
146.0,676.0,26.0
147.0,676.0,26.0
148.0,676.0,26.0
149.0,676.0,26.0
150.0,676.0,52.0
151.0,650.0,52.0
152.0,650.0,52.0
153.0,650.0,52.0
154.0,650.0,52.0
155.0,650.0,52.0
156.0,650.0,52.0
157.0,650.0,52.0
158.0,650.0,52.0
159.0,650.0,52.0
160.0,650.0,52.0
161.0,650.0,52.0
162.0,650.0,52.0
163.0,650.0,52.0
164.0,650.0,52.0
165.0,650.0,52.0
166.0,650.0,52.0
167.0,650.0,52.0
168.0,650.0,52.0
169.0,650.0,52.0
170.0,650.0,52.0
171.0,650.0,52.0
172.0,650.0,52.0
173.0,650.0,52.0
174.0,650.0,52.0
175.0,650.0,52.0
176.0,650.0,52.0
177.0,650.0,52.0
178.0,650.0,52.0
179.0,650.0,52.0
180.0,650.0,52.0
181.0,650.0,52.0
182.0,650.0,52.0
183.0,650.0,52.0
184.0,650.0,52.0
185.0,650.0,52.0
186.0,650.0,52.0
187.0,650.0,52.0
188.0,650.0,52.0
189.0,650.0,52.0
190.0,650.0,52.0
191.0,650.0,52.0
192.0,650.0,52.0
193.0,650.0,52.0
194.0,650.0,52.0
195.0,650.0,52.0
196.0,650.0,52.0
197.0,650.0,52.0
198.0,650.0,52.0
199.0,650.0,52.0
200.0,650.0,52.0
201.0,650.0,52.0
202.0,650.0,52.0
203.0,650.0,52.0
204.0,650.0,52.0
205.0,650.0,52.0
206.0,650.0,52.0
207.0,650.0,52.0
208.0,650.0,52.0
